mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.30461997985839845,0.00831339714751593,0.07711849212646485,0.004849741572444482,3,2,50,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",0.2608695652173913,0.2774566473988439,0.3025210084033613,0.33613445378151263,0.27419354838709675,0.2902350446376412,0.026610708690070435,6,0.3613707165109034,0.3603053435114504,0.359504132231405,0.34615384615384615,0.36363636363636365,0.3581940804087937,0.006178193461439923
0.5844263076782227,0.0290084680497531,0.10844755172729492,0.0095566508327365,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.25157232704402516,0.2807017543859649,0.2882882882882883,0.368,0.2835820895522388,0.2944288918541034,0.03896969986164394,1,0.36217948717948717,0.36199095022624433,0.36129032258064514,0.35772357723577236,0.362657091561939,0.3611682857568176,0.0017774564778447238
1.0855278968811035,0.037115896767495195,0.14815049171447753,0.01791830443537476,3,2,200,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.25806451612903225,0.2926829268292683,0.2956521739130435,0.36065573770491804,0.26153846153846155,0.2937187632229447,0.03685693079752984,2,0.3656957928802589,0.35691318327974275,0.379746835443038,0.359504132231405,0.3643122676579926,0.36523444229848745,0.00792152271133293
0.2814176082611084,0.017705438222517956,0.0686415195465088,0.011952655162776632,3,5,50,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",0.2608695652173913,0.2727272727272727,0.3,0.3389830508474576,0.28125,0.29076597775842433,0.027275987603584403,5,0.3613707165109034,0.3582089552238806,0.36065573770491804,0.33978494623655914,0.36594202898550726,0.3571924769323537,0.00905606841104418
0.5400368690490722,0.0159947264291598,0.10491762161254883,0.009731036752588941,3,5,100,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.25157232704402516,0.27906976744186046,0.2857142857142857,0.36220472440944884,0.26666666666666666,0.28904555425525735,0.038387329205392146,8,0.36217948717948717,0.35767511177347244,0.3605150214592275,0.36511156186612576,0.3600713012477718,0.36111049670521694,0.002465264718140294
0.9928074359893799,0.021025309804637037,0.1558774471282959,0.01731211053646617,3,5,200,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200}",0.25477707006369427,0.2874251497005988,0.2956521739130435,0.34710743801652894,0.26153846153846155,0.2893000586464654,0.032705047855714584,7,0.3656957928802589,0.3616,0.38054968287526425,0.36363636363636365,0.36704119850187267,0.3677046075787519,0.006682637951207192
0.2860709667205811,0.021554487439067075,0.06934089660644531,0.012741659099023427,3,10,50,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50}",0.26993865030674846,0.2711864406779661,0.3,0.3448275862068966,0.256,0.2883905354383222,0.031640227857197244,9,0.3591331269349845,0.3617339312406577,0.36363636363636365,0.341991341991342,0.3613138686131387,0.35756172648329737,0.007915721726389453
0.5638110637664795,0.031758240447924295,0.09573092460632324,0.004770656611829059,3,10,100,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.25157232704402516,0.27906976744186046,0.2857142857142857,0.36507936507936506,0.27941176470588236,0.2921695019970837,0.03831451806381643,4,0.3610223642172524,0.35714285714285715,0.3640256959314775,0.36885245901639346,0.3590664272890485,0.3620219607194058,0.004103917263323279
1.0449897289276122,0.040826509248914095,0.1810234546661377,0.02424848097496185,3,10,200,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.25316455696202533,0.2891566265060241,0.3103448275862069,0.34710743801652894,0.26153846153846155,0.29226238212184935,0.034109236098891785,3,0.36688311688311687,0.3624801271860095,0.38054968287526425,0.36475409836065575,0.3656716417910448,0.3680677334192182,0.0064053907666936655
0.3196910858154297,0.015534930607300077,0.07606616020202636,0.01641067209556898,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.22972972972972974,0.28776978417266186,0.22641509433962265,0.25263157894736843,0.21782178217821782,0.24287359387352012,0.02522745653779945,18,0.4602076124567474,0.47876447876447875,0.5239179954441914,0.5276381909547738,0.47345132743362833,0.4927959210107639,0.027624843233865534
